rating,date,content,content_length,is_positive
4.0,2026-01-06,From the moment we entered Lotte World the grand size of this amusement park amazed us The sheer scale is impressive with four spacious indoor floors and an expansive outdoor area that offered a vibrant mix of attractions The colourful,235,1
5.0,2026-01-13,I had never been to an indoor amusement park before and it was honestly super fun There was a good variety of attractions and the staff was very friendly We went on a weekend and there weren t many lines for the rides plus the theme was 10 10,242,1
5.0,2025-12-20,It is much larger than I expected We had a lot of fun today and I would suggest anybody coming to Seoul to stop by,114,1
5.0,2026-01-06,A must go to spot in Seoul It s a theme park but even if you don t like rides there s SOOOO much to do here There are shows ice skating lots of food and drinks minimal rides photo exhibits and more You can also dress up in school,229,1
3.0,2025-12-30,Experience was alright there but wait times were tremendously long especially for the more thrilling rides such as 2hours and 40 minutes for Phantoms Fury Every ride had more than 30 minutes wait time It is a good place to bring young,234,0
4.0,2026-01-06,lotte world was really cool never been to an amusement park that s both indoors and outdoors and honestly it s a pretty interesting concept especially since we went in december and it was freezing being able to go inside whenever we,232,1
5.0,2025-09-20,This is an awesome theme park for a fun day out It s a bit like a mix of Disneyland and an indoor park so it s great no matter the weather The rides are thrilling and the parades are really well done The Magic Island part outside is,232,1
5.0,2025-11-20,Overall we had a great experience at Lotte World Theme Park My son is still a little young and couldn t meet the height requirements for some of the bigger,155,1
3.0,2025-12-20,Too long waiting lines Forced to watch the parade as the way to the attractions is barred I had no interest in the parade but ended up forced to watch it,153,0
5.0,2025-09-20,There is a indoor and outdoor park Indoor rides and plays are more suitable for children Outdoor has more adventure rides Went during weekend and non school holiday thus parks are not crowded Communication is in Korean so may be,228,1
5.0,2025-11-20,For K drama fan it was a must for us to experience it We even decided to rent school uniform to elevate our experience,118,1
4.0,2025-12-20,Was very packed when I was there Cold weather after the snow was nice Queues were so long But fast But still long About 1 to 2 hours per ride Plenty of young people Toilets are few and far in between Signs are confusing quite a,227,1
3.0,2025-10-20,We came here for a full day of fun The place was crowded for a weekday Lots of children running around We enjoyed the parade even though it was a bit short Make sure you download the app to see how long the wait times are,221,0
1.0,2025-12-20,Absolutely disappointing We paid around 40 000 KRW per person and ended up riding mostly filler attractions None of the main rides that would have made the ticket price worth it were accessible because the lines were insanely long To,233,0
4.0,2025-12-20,Nice amusement park There are many things to see However even though we came during a weekday it was really crowded There is a long wait for the popular rides,158,1
5.0,2025-08-20,Lotte World A Magical Adventure in the Heart of Seoul Lotte World is more than just a theme park it s a dual world adventure that you have to experience to believe With a massive indoor park Lotte World,202,1
5.0,2025-10-20,I only stayed in the indoor part and it was great I needed to wait a bit longer only on one ride There are good restorants and cafes where you can eat while you are there Before closing there is a whole performance that you don t want to miss,242,1
4.0,2026-01-13,Great for kids with a mixture of adult rides mainly on magic Island Expect to spend the whole day l this fun place,114,1
5.0,2025-09-20,It was so easy to reach there via subway from Seoul city center Once you enter the facility you notice that how this place is big Also there is an another open area is big like the covered area,193,1
2.0,2025-12-30,Bewn on a weekday thinking the crowd would be less but god i am so wrong Place is packed and waiting time is so much longer more than an hour just for that few minutes ride Paid a full price for ticket entrance thinking it should have,234,0
5.0,2025-11-20,Went during the pokemon event and had a fun time We recommend getting the fast pass if you want to ride stuff Some rides were advanced booking and the Pok mon hot balloon ride took about 90 minutes of waiting,208,1
4.0,2025-08-20,Excellent park Even if the lines look long the queueing is quick the rides don t break down often I ve only seen it happen once and it was fixed super fast Many attractions for all ages a lot of good food overall too Very recommended experience for anyone visiting Seoul,270,1
5.0,2025-10-20,The line was soooo long for the outdoor rides took some time before we were able to ride the rollercoaster but the weather was bearable at that time not that sunny but w some light rains,186,1
5.0,2025-09-20,An amazing entertainment complex for children and adults Lotte World consists of two parts the first part covered by a glass dome is mainly intended for children and family recreation There are many calm and understandable attractions,234,1
5.0,2025-08-20,It was raining that time so we didn t get to ride the fun rides It was also really big so prepare for that 10k steps It was fun overall as you can stay and enjoy the indoors during rainy season,193,1
4.0,2025-11-20,Magic pass is a must if you don t want to spend hours in line for the rides The food Options are decent It s a fun time and especially if there is an event going on,164,1
4.0,2025-08-20,We visited Lotte World on a weekday thinking it would be a quieter time to explore but we were definitely mistaken The park was absolutely packed and most ride wait times were up to an hour with some even longer It s clearly a popular,234,1
5.0,2025-12-20,Save buy tickets in advance from klook etc Arrive early ride the rides that get busy quick Pharoahs etc then stalk the other rides with smaller queues after lunch Don t leave the park reentry is very very difficult Was really surprised to see a Quiznos sub inside,263,1
4.0,2025-09-20,Lotte World is certainly an impressive destination but our visit left us with mixed feelings The park gets extremely busy especially on weekends and queuing times for the most popular rides stretched up to two or even three hours which,235,1
5.0,2025-12-23,Rides are thrilling and fun unfortunately queues are quite long and the adventure section is subject to weather conditions,122,1
4.0,2025-08-20,This is quite big indoor theme park We were booking the ticket online and came to print in the counter Many games for the kid below 100 cm We come in the summer day still hot inside and outside,193,1
1.0,2025-12-23,This place is a scam I came here on a weekday and it was incredibly crowded with the longest queues I have ever seen The whole day was spent on filler rides like 3d shows and children shooting games We did try to queue for one of the,233,0
1.0,2025-09-20,It was rlly bad every attraction had like 2 hours of waiting at least 3 good attractions were closed and the restaurants didn t have enough card options and they weren t that good it was rlly expensive and we had to pay extra for the ice skating honestly I didn t like it but maybe it was an unlucky day for me,310,0
5.0,2025-08-20,My best advice is to prepare to wait and not expect to see everything We enjoyed walking around even without riding most of the attractions,139,1
5.0,2025-07-20,On one of the hottest days in Summer the biggest indoor theme park is a great place to have fun The meal options are vase and were surprisingly decent quality The queues are long on the popular rides and on the day of my visit there are,236,1
5.0,2025-08-20,Located in the Jamsil area of Seoul this amusement park is perfect for a city day trip I love that much of it is indoors making it a great option regardless of weather It offers plenty of arcade games fun rides and some pretty good,231,1
5.0,2025-10-20,Best redemption for Seoul Pass we love the cute pokemon themes for summer but it is very warm and humid the parades were super fun too The rides are still good though some parts of their ceiling felt very low so for tall people,227,1
5.0,2025-08-20,So fun Love this place so much Came here and the rides were so fun Lines were a bit long during the afternoon so i suggest coming in the morning That ride with 2 drops near the rocking ship is so fun 10 outta 10 recommend,221,1
5.0,2025-07-20,I visited Lotte World 3 years ago and it was an unforgettable experience The theme park was full of exciting rides beautiful decorations and fun activities for all ages,168,1
5.0,2025-07-20,The amusement park was really big and had indoor and outdoor attractions Went during the summer times and the weather was really hot and sunny Do recommend to bring sunscreen and a cap if waiting for attractions in the sun Magic pass was,237,1
5.0,2025-11-20,I can t even find the words to explain such a tremendous and vibrant experience of joy and family vibe this place has Everything is taken care professionally up to the last detail Korean style and nothing is taken for Granted in this,233,1
5.0,2025-04-20,Lotte World looks like a really fun amusement park I didn t go inside but spent some time around the outside area and it was really nice,136,1
4.0,2025-10-20,It was alright Recommend spending a full day and evening Purchase the better pass for skip the queue access we went early on a weekday and still had to wait in line for even mediocre rides,188,1
2.0,2025-08-20,We were there 7 hours and made it on 3 rides It was 42 degrees in the sun need I say more The rides were fun but the 90 150 minute waits were not,145,0
1.0,2025-08-20,Lotte World Where dreams come true if your dream is to pay premium prices for standing in lines so long you start reevaluating every life decision you ve ever made including purchasing a ticket to this pathetic amusement park,225,0
3.0,2025-07-20,Lotte World adventure may be just a bit of let down IF you are an adult no magic pass The lines take forever for 2 minute rides The comet ride for instance was fun and all but the queue took 60 minutes on a weekday morning and the ride,235,0
