stars,date,review,review_length,is_positive
4.0,2026-01-04,"From the moment we entered Lotte World, the grand size of this amusement park amazed us. The sheer scale is impressive, with four spacious indoor floors and an expansive outdoor area that offered a vibrant mix of attractions. The colourful …",241,1
5.0,2026-01-13,"I had never been to an indoor amusement park before, and it was honestly super fun! There was a good variety of attractions and the staff was very friendly. We went on a weekend and there weren't many lines for the rides, plus the theme was 10/10.",247,1
5.0,2025-12-18,It is much larger than I expected. We had a lot of fun today and I would suggest anybody coming to Seoul to stop by. …,118,1
5.0,2026-01-04,"A must-go-to spot in Seoul! It’s a theme park but even if you don’t like rides, there’s SOOOO much to do here! There are shows, ice skating, lots of food and drinks, minimal rides, photo exhibits and more. You can also dress up in school …",239,1
3.0,2025-12-28,"Experience was alright there, but wait times were tremendously long, especially for the more thrilling rides, such as 2hours and 40 minutes for Phantoms Fury. Every ride had more than 30 minutes wait time. It is a good place to bring young …",241,0
4.0,2026-01-04,"lotte world was really cool. never been to an amusement park that’s both indoors and outdoors, and honestly it’s a pretty interesting concept. especially since we went in december and it was freezing. being able to go inside whenever we …",238,1
5.0,2025-09-18,"This is an awesome theme park for a fun day out. It's a bit like a mix of Disneyland and an indoor park, so it’s great no matter the weather. The rides are thrilling, and the parades are really well-done. The Magic Island part outside is …",239,1
5.0,2025-11-18,"⭐️⭐️⭐️⭐️⭐️ Overall, we had a great experience at Lotte World Theme Park. My son is still a little young and couldn’t meet the height requirements for some of the bigger …",170,1
3.0,2025-12-18,Too long waiting lines Forced to watch the parade as the way to the attractions is barred . I had no interest in the parade but ended up forced to watch it …,157,0
5.0,2025-09-18,"There is a indoor and outdoor park. Indoor rides and plays are more suitable for children. Outdoor has more adventure rides. Went during weekend, and non school holiday, thus parks are not crowded. Communication is in Korean so may be …",236,1
5.0,2025-11-18,"For K-drama fan, it was a must for us to experience it. We even decided to rent school uniform to elevate our experience. …",123,1
4.0,2025-12-18,Was very packed when I was there. Cold weather after the snow was nice. Queues were so long. But fast. But still long. About 1 to 2 hours per ride. Plenty of young people. Toilets are few and far in-between. Signs are confusing quite a …,237,1
